text,predicted_label
"the greta's of the world don't suffer eco-anxiety.
they suffer agenda manipulation and lack of their one time only childhood.
joe biden shouldn't be near children.
that's sniffing anxiety.
global climate change is a hoax.",neutral
"ajay banga, the former ceo of mastercard that president joe biden has nominated to head the world bank, told axios wednesday that both the bank and the private sector needed to spend â€œtrillionsâ€ to combat both climate change and poverty.  via",neutral
well if you can t see the curruption now you will wake up in a 3rd world cartel ran america b4 climate change ever happens! this is disgusting! &amp; we should get ready! 4 even worse corruption! they r blatantly lying &amp;cheating 2 get china ahead of us! joe biden &amp;obama did this!,neutral
"house republicans have passed a sprawling energy package that would counter virtually all of president joe biden's agenda to address climate change. the bill approved thursday would sharply increase domestic production of oil, natural gas and coal, â€¦ ",neutral
1/ european companies are investing in...the us after congress ira gives them subsidies &amp; green derisking reports â€¦,neutral
house republicans on thursday approved a sprawling energy package that seeks to undo virtually all of president joe bidenâ€™s aâ€¦,neutral
"the climate change con man is on the job.ğŸ™„flying solo around the in his private plane,telling us we can't drive gas cars. how did we ever have so manyğŸ¤¡ğŸ¤¡that are totally out of touch with the people. ask france where are their ev r- piled up in dumps  ",neutral
joe biden's veto tells 152 million americans that funding climate change and esg are more important to him than theirâ€¦,neutral
"â€œbidenâ€™s dept. of interior offered up a vast area of the gulf for drilling projects stretching out over decades, despite scientistsâ€™ urgent warnings that fossil fuels must be rapidly phased out to avoid disastrous climate changeâ€ ",neutral
house republicans are set to approve a sprawling energy package that counters virtually all of president joe bidenâ€™s agenda to addrâ€¦,neutral
house republicans approved a sprawling energy package that seeks to undo virtually all of president joe bidenâ€™s agenda to aâ€¦,neutral
the climate change hoax may be primed to take a severe blow from the supreme court of the united states of america theâ€¦,neutral
house republicans on thursday approved a sprawling energy package that seeks to undo virtually all of president joe biden'â€¦,neutral
house republicans approved a sprawling energy package that seeks to undo virtually all of president joe bidenâ€™s agenda to address climate change. ,neutral
completely incomprehensible that the white house is locking in fifty years of oil drilling on federal land.  a billion baâ€¦,neutral
house republicans on thursday approved a sprawling energy package that seeks to undo virtually all of president joe bidenâ€™s agenda to address climate change. ,neutral
the climate change hoax may be primed to take a severe blow from the supreme court of the united states of america the free people because the crazy joe biden administration just handed over our sovereignty to the united nations. ,neutral
this is joe bidenâ€™s 75-car motorcade as he arrives in canada to pontificate on climate change. it's like getting lectured onâ€¦,neutral
"canâ€™t afford gas?
itâ€™s climate change. 
canâ€™t afford housing? 
itâ€™s climate change.

 leftists will blame everything on climate change and nothing on joe biden if they can help it.",neutral
house republicans are set to approve a sprawling energy package that seeks to undo virtually all of president joe biden's agenda to address climate change: ,neutral
"joe biden's on his:
let's keep pissing away more of the american taxpayer's money on stupid wasteful things like climate chanâ€¦",neutral
"joe biden or whomever the dnc gives us is going to make the same 2020 promises (and probably more), and then dâ€¦",neutral
"dear president joe biden, it's true you've been praised by all americans that you've put more money in the pockets of all americas, hallelujah. you were elected as the president of the usa in a difficult time because of the covid-19 and climate change. i think, you've not rested. ",neutral
"house republicans on thursday approved a sprawling energy package that seeks to undo virtually all of president joe biden's agenda to address climate change.

 ",neutral
"the liar president joe biden of climate change, of no more extraction of oil?, he has just auctioned 30 million hectares equivalent to the size of italy for oil exploitation, weeks ago it was in antarctica enough to end humanity ",neutral
"joe biden or whomever the dnc gives us is going to make the same 2020 promises (and probably more), and then deliver absolutely nothing. or in the case of climate change, deliver the exact opposite of what was promised. we have to get a real progressive in there. ",neutral
"joe biden's on his:
let's keep pissing away more of the american taxpayer's money on stupid wasteful things like climate change and equity and destroy the american economy tour",neutral
"its very true. 

youth aren't nearly as concerned about health care access than about climate change. biden has gone backwards.

zoomers have student loans at a much lower rate than millennials. 

even dems and joe biden are ready to ban tiktok. that's a weird bipartisan swing.",neutral
"#thefive 
joe biden's on his:
let's keep pissing away more of the american taxpayer's money on stupid wasteful things like climate change and equity and destroy the american economy tour",neutral
house republicans are set to approve a sprawling energy package that counters virtually all of president joe bidenâ€™s agenda to address climate change. ,neutral
"from the winy radio newsroom: washington (ap) â€” house republicans on thursday approved a sprawling energy package that seeks to undo virtually all of president joe biden's agenda to address climate change.
",neutral
"joe biden's veto tells 152 million americans that funding climate change and esg are more important to him than their retirement savings. what does he care, at his age, he only has a few years left on this planet. ",neutral
are we really shocked by  doing something so detrimental to the #environment? we could of had bernie sanders who was one of the top picks for #climate #climatechange  ,neutral
"house approves broad bill to 'unleash' american energy: washington (ap) â€” house republicans on thursday approved a sprawling energy package that seeks to undo virtually all ofÂ president joe biden's agenda to address climate change.

click here to watchâ€¦ ",neutral
"so you say global emissions, so you are buying all of joe bidenâ€™s and the leftâ€™s crap. the premise is wrong! there is no man-made climate change, no human effort will change the climate. you are lost!",-1
"you have the wrong picture! it should be a resemblance of ole slow joe biden who has been systematically destroying our national security with his bone-headed march towards alleged climate change, when our enemies are not buying into climate change. china adding more fossil use!!",neutral
"whole grains are the greatest threat in florida to my campaign. sleepy joe biden claims fake ""climate change"" is worse. corrupt news!",-1
"completely incomprehensible that the white house is locking in fifty years of oil drilling on federal land.  a billion barrels of oil

the same admin that declared climate change an ""existential threat"" to humanity and called for all-of-government response
",neutral
"house republicans have passed a sprawling energy package that would counter virtually all of president joe bidenâ€™s agenda to address climate change. the bill approved thursday would sharply increase domestic production of oil, natural gas and coal, and ... ",neutral
"house republicans are set to approve a sprawling energy package that seeks to undo virtually all of president joe bidenâ€™s agenda to address climate change. #blindspotfortheright
",neutral
"joe biden is preparing a series of new executive orders to address climate change, according to recent comments by his special envoy on climate-related issues, john kerry.",neutral
"what we know today:
covid was and is  a hoax.
the covid vaccine is dangerous.
climate change is the new hoax.
every cabinet member is incompetent.
joe biden is compromised.
america is in distress and being sold out.",neutral
"house republicans are set to approve a sprawling energy package that counters virtually all of president joe bidenâ€™s agenda to address climate change. the massive gop bill up for a vote thursday would sharply increase domestic production of oil, natural... ",neutral
"house republicans are set to approve a sprawling energy package that seeks to undo virtually all of president joe bidenâ€™s agenda to address climate change.

",neutral
"chancellor unveils governmentâ€™s green technology scheme with swipe at joe biden

",neutral
hunt unveils green technology plan with swipe at joe biden ,neutral
house republicans are set to approve a sprawling energy package that counters virtually all of president joe bidenâ€™s agenda to address climate change.  ,neutral
climate change makes less sense than joe biden,neutral
"lol john kerry and climate change. heâ€™s about as trustworthy as a fart from joe biden. hereâ€™s the  circa 1989. nearing 40 years ğŸ¤¡ğŸ¤¡ğŸ¤¡

",neutral
house republicans are set to approve a sprawling energy package that seeks to undo virtually all of president joe bideâ€¦,neutral
young people to joe biden: you betrayed us on climate change  via,neutral
"the air force secretary just said that the greatest threat to our national security is chinaâ€™s growing nuclear arsenal.

shows what he knows.  anyone with half a brain knows that climate change is our biggest threatâ€¦ just ask joe â€œhalf a brainâ€ biden.",neutral
"the liar president joe biden ğŸ‡ºğŸ‡²ğŸ‘®ğŸ€ğŸ’©ğŸ‘¹ğŸ‘½ğŸ›¢ï¸ğŸ’¥â˜ ï¸of climate change, of no more extraction of oil?, he has just auctioned 30 million hectares equivalent to the size of italy for oil exploitation, weeks ago it was in antarctica enough to end humanity ",neutral
"the liar president joe bidenğŸ‡ºğŸ‡²â˜ ï¸ğŸ‘®ğŸ€ğŸ’©ğŸ‘½ğŸ‘¹ğŸ›¢ï¸ğŸ’¥ of climate change, of no more extraction of oil?, he has just auctioned 30 million hectares equivalent to the size of italy for oil exploitation, weeks ago it was in antarctica enough to end humanity ",neutral
house republicans are set to approve a sprawling energy package that seeks to undo virtually all ofÂ president joe biden's agenda to address climate change. ,neutral
"a tory pie-in-the-sky plan with little chance of success. #toryscum #toriesout266 #generalelectionnow 

hunt unveils green technology plan with swipe at joe biden ",anti
jeremy hunt unveils green technology plan with swipe at joe biden  ,neutral
chancellor unveils governmentâ€™s green technology scheme with swipe at joe biden ,neutral
"joe biden has been bad for the american economy. now, global markets are ditching the dollar. when all is said and done, americans would realise that economies run on sound logic and not woke ideologies that pander to liberalism (eg climate change)",anti
"why would you put somebody in charge of our money and the economy that absolutely is more worried about climate change than 300 people a day dying from fentanyl
joe biden is incapable of hiring anyone to do a job we all know that.",neutral
"wtaf. hey, , you need some better climate change scientists. because you don't know what you're doing. ğŸ¤¬
 ",neutral
"joe biden: ""climate change is an existential threat.""

also joe biden:
- expanded offshore drilling
- sabotaged nord streaâ€¦",neutral
"house republicans are set to approve a sprawling energy package that seeks to undo virtually all of president joe bidenâ€™s agenda to address climate change. ğŸ‘€ 1/5
",neutral
house gop pushes sprawling bill to 'unleash' american energy -  -house republicans are set to approve a sprawling energy package that counters virtually all of president joe bidenâ€™s agenda to address climate change - tell the world what you think,neutral
so joe biden blew up the u.s economy to push climate change doom??ğŸ¤”ğŸ™„ğŸ’¯âœ”ï¸ğŸ‡ºğŸ‡¸ ,-1
"joe bidenâ€™s budget proposal gifts millions to support radical climate change organizations in developing countries.
Â 
amerâ€¦",neutral
"letâ€™s just skip you climate change horse sh!t, how about joe biden lied again about raising taxes. 4. some odd trillion in new tax on middle class. joe biden: â€œi will unite the country, not divideâ€ a lie! â€œno one making under 4 hundred k will pay no new tax, another lie!",neutral
"pres biden call with gs trong - readout
bileral relationship, climate change, indo-pacific, mekong security
also: asean centrality, human rights, vn's climate chang goals
[tÄ‘h: centrality (respected), human rights (leveraging), climate goals (supported)]
",neutral
john kerry says #joebiden will appease communist #china on climate change - #johnkerry told yahoo news that #biden has given him carte blanche authority to cut a climate deal with communist china â€“ even as the #chinese communist party is actively preparing  ,neutral
"when the wef says â€jump.â€ we ask â€œhow high?â€

president joe biden is preparing a series of new executive orders to address climate change, according to recent comments by his special envoy on climate-related issues, john kerry.
",neutral
don't you just love mr. musk and his ability to push back on the nonsense. i certainly appreciate having an intelligenâ€¦,-1
itâ€™s a lie joe biden did not overspend and hurt the american people climate change is real the climate is changing please do something to stop the climate from get worse like get ride of factories that have fossil fuels,neutral
on the day the uk is criticised for being completely unprepared to meet our climate change targets this pipsqueak criticises joe biden  for taking green issues seriously ,neutral
â€¦,neutral
"dems need to wake up on this issue. bidenâ€™s sliding numbers are driven partly by people who would otherwise approve of his job performance, but see what he does as inconsistent with proper policy, 

climate change isnâ€™t political triangulations, itâ€™s about physics and chemistry. ",neutral
john kerry and joe biden seek to appease communist china as part of climate change push ,neutral
"ed miliband did a better job of being a political salesman, with a positive story to tell about a new economy combined wiâ€¦",neutral
"secretary janet yellen should be denouncing joe biden - if she even cares climate change!

largest environmental catasâ€¦",neutral
"secretary janet yellen should be denouncing joe biden - if she even cares climate change!

largest environmental catastrophe in human history? nord stream!

so are we suppose to believe nord stream bomber - joe biden - cares about climate change?!  ",neutral
"ed miliband did a better job of being a political salesman, with a positive story to tell about a new economy combined with a fight against climate change â€“ â€œthe biggest market failure the world has ever knownâ€, he says. 

free to read ğŸ”“ ",neutral
"speculation:  marianne williamson cannot beat joe biden. 

fact:  if joe biden defeats marianne williamson, millions of people will die as a result of climate change who would not otherwise have to. 

source: ",neutral
"don't knock joe biden. he is the only president making the radical changes needed to combat climate change in the usa.
give credit where credit is due.",neutral
because it's always the republicans fault.  and the blame game continues. &amp;don't forget that climate change is to blâ€¦,neutral
because it's always the republicans fault.  and the blame game continues. &amp;don't forget that climate change is to blame as well! biden is an empty suit&amp; a hand puppet that sold out all the american people. even the one's that voted for him. dc is a circus &amp;joe is their clown!,neutral
(1051) joe biden explains climate change using 'hip lingo favoured by the younguns' - youtube ,neutral
"the french version of f joe biden. the global predators thought they had it in the bag: first the covid plandemic, then the green ""energy"" and eat bugs for climate change scams. first the french will deal with little macron. then they will march on brussels. #francerising #france ",neutral
"looks like the president who cares about climate change...doesn't.
#keepitintheground

italy-sized chunk of gulf of mexico to be auctioned off by the us for oil drilling ",neutral
climate change. president trump responded with a series of false claims. joe biden outlined several elements of his climâ€¦,neutral
"liberal left, climate change hokes, big pharma, corrupt media, deep state, lobbyists, wokeness, godlessness, ballot harvesting, open borders and whoever pulls the strings of joe biden.  

want more?",-1
"climate change, covid vaccines,  joe biden is a moderate, the democrat party cares about minorities, republicans want to steal old people's social security, n95 surgical masks stop the transmission of covid, donald trump rallied white supremist to storm into the capital...",neutral
well done joe biden. the democratically elected leader of the free world . not an unelected spoilt tax dodâ€¦,neutral
"climate change
socialism/communism
liberalism 
mainstream media 
the vaccine
it's just a clump of cells
trans ideology
catholicism 
islam 
anything joe biden says ",neutral
"ajay banga, the former ceo of mastercard that president joe biden has nominated to head the world bank, told axios wednesday thâ€¦",neutral
"ajay banga, the former ceo of mastercard that president joe biden has nominated to head the world bank, told axios wednesday that both the bank and the private sector needed to spend â€œtrillionsâ€ to combat both climate change and poverty. banga has been aâ€¦ ",neutral
"you can always tell when politicians are reading from the same script. ""climate change is  an existential threat!""

-joe biden
-lloyd j. austin
-janet yellen
-bernie sanders
-obama
...etc",neutral
"disarm joe biden, fight climate change, defund joe's security detail!!  sweep his offices and his home, clear out all guns and all security!",neutral
"joe biden and this administration isn't serious about climate change, no matter how much money you pour into green energy you can't keep doing this stuff ",neutral
"me waking up every morning without a mind virus that tricks me into supporting:

joe biden
ukraine
reparations
celebrity cannibal cults
vaccine mandates
anti-gun legislation
pedophilia
communism
wars
socialism
open boarders
climate change
political correctness
censorship
genderâ€¦  ",neutral
"woke is weak!

""climate change, diversity, and covid are three of the four top concerns of joe biden's pentagon""
  via",neutral
"warning: typical right-wing propaganda tactic being employed here!

attack joe biden because you cannot handle the truth. ignore the science, just like with the pandemic, climate change, and other issues.

""ar"" stands for assault rifle, designed to do more damage to an enemy.",neutral
joe biden's climate change agenda going about as well as you'd expect. ,neutral
"joe biden will inherit from trump: the worst economy since the great depression, the worst public health crisis in 100 yâ€¦",neutral
svb invested in the green new deal and went broke. the climate change hoax!   electric is a unreliable source of energy. fossil fuels are 100 percent effective.  the government of joe biden is spending beyond their means!!,neutral
governments selling our childrenâ€™s future with duplicitous actions on climate change ,neutral
"sounds like you're describing joe biden.   big government socialist, he will save us all from 'climateâ€¦",neutral
well done joe biden. the democratically elected leader of the free world . not an unelected spoilt tax dodging climate change hypocrite.,neutral
"joe bidenâ€™s top priority is climate changeâ€” heâ€™s got to help his globalist elite friends get richer. he doesnâ€™t care if his climate policies is making you struggle and destroying the environment. in his america, globalists are more important to him than the needs of americans ",neutral
"trumpers keep claiming that joe biden â€œhasnâ€™t achieved anything.â€ they must have missed his pandemic recovery bill, hiâ€¦",anti
"his moves on immigration, climate change, &amp; warmongering are not a pivot. he's always been a right-winger. heâ€™s doing precisely what those who have been paying attention for the last few decades told you he was going to do. heâ€™s a corrupt rightwing thug.
",neutral
"joe biden is the worst person ever lived in the white house! he destroys everything he touches!
his big lie climate change!
if climate change is true, why joe biden doesn't care about his carbon footprint flying zillion times to delaware?
please, bring back president trump
â¤ï¸ğŸ‡ºğŸ‡¸â¤ï¸",neutral
"you know things are bad when a random person in the parking lot of costco yells out his window to you, ""ya better start buying meat! joe biden is blaming cows for climate change and the prices will only go up!""

...he's not wrong.

#entertainmentatcostco",neutral
this has nothing to do with tick tock and all to do with we're preparing for war. a tree hugging climate change activist joe biden greenlet the willow project is another proof. and the fact is that the dollar is losing its reserve status soon. they need to control the narrative,neutral
"john kerry says new climate change executive orders are coming

president joe biden is preparing a series of new executive orders to address climate change, according to recent comments by his special envoy on climate-related issues, john kerry.

",neutral
party political message from one of the heritage party members but itâ€™s not confirmed to be a official party broadcast !â€¦,neutral
party political message from one of the heritage party members but itâ€™s not confirmed to be a official party broadcast ! joe biden is round the twist because he believes in the climate change myth many people believe they got the right to call him the one and only antichrist ! ,neutral
this controls our climate... joe biden and the squad can't change that ,neutral
why does joe biden hate americans and american families this bullshit about climate change is nothing but bullshit h.r. 1 will only make america stronger and joe obviously doesn't want a strong america,neutral
"don't you just love mr. musk and his ability to push back on the nonsense. i certainly appreciate having an intelligent grown up who can speak out against this immoral, ignorant government. almost every issue we are experiencing was self-inflicted by this   ",neutral
climate change is a hoax brought to you by the joe biden administration.,neutral
"joe bidenâ€™s budget proposal gifts millions to support radical climate change organizations in developing countries.
Â 
american taxpayer dollars should not be used to build an army of green new deal activists around the world.",neutral
ğŸ¤¦ğŸ½â€â™‚ï¸ joe bidenâ€™s fkg climate change agenda.,neutral
breaking: republicans fail in spectacular fashion to overturn president biden's first veto by falling short of the 2/3â€¦,neutral
joe biden had an 80 car convoy to come visit canada to discuss â€œclimate changeâ€ â€¦.,neutral
"john kerry is the president's right hand man on climate change, joe biden and the democrats endorse the radical climate change agenda. ",neutral
"q: how many gasoline powered vehicles does it take to get joe biden to a meeting in canada about climate change?  

a: a lâ€¦",neutral
"joe biden leader of the free world is coming to visit northern ireland, and he isn't going to meet our unelected parasite tax dodging climate change hypocrite  head of state . and he isn't going to the coronation as well.",neutral
"your problem is recognizing that joe biden himself is ""a conservative warmonger"" who is ""making sure that the american people never get universal health care, education for all, or any concern for climate change.""",neutral
"ashley biden diary confirmed as authentic! which means 81 million (allegedly) pedophile/pedophile sympathizers voted for pedophile,  joe biden. that's a lot of pedos! and ppl are worried about climate change? worry about your kids!!! ",neutral
"i do not support esg, climate change, joe biden and democrats too; everyone can have opinions. you are just a career politician whose opinions donâ€™t shift from california that you represent.",neutral
white house says joe biden will veto house gopâ€˜s energy bill  via  we must rid the world of these climate change nut cases.,neutral
"the corrupt political establishment stole the election from trump and installed the incompetent, corrupt joe biden. as a result, america is in decline and the world is living under the threat of nuclear war. climate change is a hoax. nuclear war is terminal. ",neutral
"sounds like you're describing joe biden.   big government socialist, he will save us all from 'climate change', started wwiii, imprisons and demonizes his political opponents.   bangs his fists on the podium with rage against working class americans.",neutral
"imagine being an abortion activist and being content with joe biden. 

imagine caring about climate change and being câ€¦",anti
joe bidenâ€™s response to climate change? showers with daughter!,neutral
"""climate change is literally an existential threat to our nation and to the world,"" according to joe biden. why should the whole of society focus on antisemitism if humans will soon cease to exist? ",neutral
"joe biden or marianne williamson?

âœ… late to racial justice
âœ… flip-flopped on gay rights
âœ… flip-flopped on climate
âœ… lied aboutâ€¦",neutral
joe biden now on the attack saying maga house republicans wonâ€™t support a bill that would put 20k guards at our southern borâ€¦,neutral
humans contribute to global warming and yet the democrat's under joe biden have allowed 2.5 million illegal immigrants into the country. a democrat solution to climate change in the united states.,neutral
"imagine being an abortion activist and being content with joe biden. 

imagine caring about climate change and being content with joe biden.

astounding levels of privilege, arrogance and insiderism. 

you dare to call yourself a leader?",neutral
"the climate change hoax, ask yourself why john kerry, al gore, and joe biden all are for the climate change hoax, the grâ€¦",neutral
clown world! joe bidenâ€™s 75-car motorcade arrives in canada as he prepares to address the ''climate change emergency.'' imagine believing this hoax is real ğŸ¤¡ ,neutral
"john kerry: we have to find a way to work with russia on climate change

the entire biden regime is clueless.
lurch kerry needs to have his jet taken away, and put him in the same home as bumbling joe

 ",neutral
"because the administration is compromised via china's blackmail.

so destroying the u.s. economy is joe biden's priority. 

for a ""climate change crisis"" that literally doesn't exist.",neutral
lolol you mean by reminding everyone hurting over the loss of loved ones that climate change is the problem.  joe biden does not know what empathy is.  he never has.  i have been around to remember when he became a senator with his marriage is only for straights and his use ofâ€¦ ,neutral
"the climate change hoax, ask yourself why john kerry, al gore, and joe biden all are for the climate change hoax, the green new deal. $$$$ banning gas and oil, their ties to lithium mining, they already admitted to the new world order, the great reset. $$$$$ follow the money.",neutral
"instead of worrying about the survival of america joe garbage biden makes our foreign policy the climate change hoax and lgbt. china is surpassing our military, allied with russia, has taken the dollar out of honduras and many other countries, and is crushing us the world over.",neutral
"housing? nah
health? nah
climate change? nah
joe biden? it's revolution time baby",neutral
"ğŸ¤£ğŸ¤£ğŸ¤£ğŸ¤£

1999 is when people became absorbed into the matrix.
who can deny, that that is where we are?

covid, and global climate warming change are believed en masse as global truth, and senile joe biden is potus.

just sayin.
ğŸ¤·â€â™‚ï¸",neutral
"everyday we wake up to find out joe biden and his cronies sold out our country for another couple million dollars. the war in ukraine, climate change, transgender, itâ€™s all about the $$$$$$. usa citizens struggle while these clowns give it all away. ğŸ¤¬",neutral
"this response is for john kerry, joe biden, and the rest of those supporting the fake climate change agenda - with the country's current issues, drop this climate bullshit and focus on the real issues, unless the collapse of the us is your agenda.",neutral
"and apparently, after he was done meeting in dc with the rga and the ceo of fzr, governor bill lee took part in a bipaâ€¦",neutral
"joe biden appears to be a more integral part of the dc swamp and war machine every day...war on crack, war on climate change, war on iraq, war on covid...he's now the waring head of the dc political class.",neutral
